|++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++|
|                               Flv Tag Info                                         |
|++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++|
|TagNum    |TagType   |TagSize    |TimeStamp   |timeStampExt |TimeStampSub |StreamID |
|       368|         8|        168|     3318991|            0|           22|        0|
|       369|         9|       4310|     3318929|            0|           40|        0|
|       370|         8|        170|     3319012|            0|           21|        0|
|       371|         8|        163|     3319033|            0|           21|        0|
|       372|         9|       4496|     3318969|            0|           40|        0|
|       373|         8|        170|     3319055|            0|           22|        0|
|       374|         8|        164|     3319076|            0|           21|        0|
|       375|         9|       5529|     3319009|            0|           40|        0|
|       376|         8|        167|     3319097|            0|           21|        0|
|       377|         8|        165|     3319119|            0|           22|        0|
|       378|         9|       5441|     3319049|            0|           40|        0|
|       379|         8|        165|     3319140|            0|           21|        0|
|       380|         8|        172|     3319161|            0|           21|        0|
|       381|         9|       5155|     3319089|            0|           40|        0|
|       382|         8|        164|     3319183|            0|           22|        0|
|       383|         8|        159|     3319204|            0|           21|        0|
|       384|         9|       5164|     3319129|            0|           40|        0|
|       385|         8|        165|     3319225|            0|           21|        0|
|       386|         9|       4765|     3319169|            0|           40|        0|
|       387|         8|        165|     3319246|            0|           21|        0|
|       388|         8|        163|     3319268|            0|           22|        0|
|       389|         9|       4675|     3319209|            0|           40|        0|
|       390|         8|        159|     3319289|            0|           21|        0|
|       391|         8|        169|     3319311|            0|           22|        0|
|       392|         9|       4503|     3319249|            0|           40|        0|
|       393|         8|        153|     3319332|            0|           21|        0|
|       394|         8|        163|     3319353|            0|           21|        0|
|       395|         9|       3916|     3319289|            0|           40|        0|
|       396|         8|        160|     3319375|            0|           22|        0|
|       397|         8|        169|     3319396|            0|           21|        0|
|       398|         9|       4812|     3319329|            0|           40|        0|
|       399|         8|        166|     3319417|            0|           21|        0|
|       400|         8|        168|     3319438|            0|           21|        0|
|       401|         9|       4355|     3319369|            0|           40|        0|
|       402|         8|        165|     3319460|            0|           22|        0|
|       403|         8|        159|     3319481|            0|           21|        0|
|       404|         9|       4123|     3319409|            0|           40|        0|
|       405|         8|        159|     3319503|            0|           22|        0|
|       406|         9|       4151|     3319449|            0|           40|        0|
|       407|         8|        165|     3319524|            0|           21|        0|
|       408|         8|        171|     3319545|            0|           21|        0|
|       409|         9|       5430|     3319489|            0|           40|        0|
|       410|         8|        159|     3319567|            0|           22|        0|
|       411|         8|        167|     3319588|            0|           21|        0|
|       412|         9|       4065|     3319529|            0|           40|        0|
|       413|         8|        166|     3319609|            0|           21|        0|
|       414|         8|        161|     3319630|            0|           21|        0|
|       415|         9|       3974|     3319569|            0|           40|        0|
|       416|         8|        167|     3319652|            0|           22|        0|
|       417|         8|        166|     3319673|            0|           21|        0|
|       418|         9|       4437|     3319609|            0|           40|        0|
|       419|         8|        165|     3319695|            0|           22|        0|
|       420|         8|        169|     3319716|            0|           21|        0|
|       421|         9|       4463|     3319649|            0|           40|        0|
|       422|         8|        163|     3319737|            0|           21|        0|
|       423|         8|        163|     3319759|            0|           22|        0|
|       424|         9|       4898|     3319689|            0|           40|        0|
|       425|         8|        157|     3319780|            0|           21|        0|
|       426|         9|       5547|     3319729|            0|           40|        0|
|       427|         8|        166|     3319801|            0|           21|        0|
|       428|         8|        165|     3319822|            0|           21|        0|
|       429|         9|       4163|     3319769|            0|           40|        0|
|       430|         8|        163|     3319844|            0|           22|        0|
|       431|         8|        166|     3319865|            0|           21|        0|
|       432|         9|       4565|     3319809|            0|           40|        0|
|       433|         8|        159|     3319887|            0|           22|        0|
|       434|         8|        166|     3319908|            0|           21|        0|
|       435|         9|       4902|     3319849|            0|           40|        0|
|       436|         8|        167|     3319929|            0|           21|        0|
|       437|         8|        162|     3319951|            0|           22|        0|
|       438|         9|       4540|     3319889|            0|           40|        0|
|       439|         8|        162|     3319972|            0|           21|        0|
|       440|         8|        164|     3319993|            0|           21|        0|
|       441|         9|       4431|     3319929|            0|           40|        0|
|       442|         8|        163|     3320014|            0|           21|        0|
|       443|         8|        164|     3320036|            0|           22|        0|
|       444|         9|       4431|     3319969|            0|           40|        0|
|       445|         8|        170|     3320057|            0|           21|        0|
|       446|         8|        160|     3320079|            0|           22|        0|
|       447|         9|       4328|     3320009|            0|           40|        0|
|       448|         8|        163|     3320100|            0|           21|        0|
|       449|         9|       4468|     3320049|            0|           40|        0|
|       450|         8|        166|     3320121|            0|           21|        0|
|       451|         8|        182|     3320143|            0|           22|        0|
|       452|         9|       4316|     3320089|            0|           40|        0|
|       453|         8|        168|     3320164|            0|           21|        0|
|       454|         8|        163|     3320185|            0|           21|        0|
|       455|         9|       3758|     3320129|            0|           40|        0|
|       456|         8|        157|     3320206|            0|           21|        0|
|       457|         8|        161|     3320228|            0|           22|        0|
|       458|         9|       5154|     3320169|            0|           40|        0|
|       459|         8|        160|     3320249|            0|           21|        0|
|       460|         8|        167|     3320271|            0|           22|        0|
|       461|         9|       5223|     3320209|            0|           40|        0|
|       462|         8|        169|     3320292|            0|           21|        0|
|       463|         8|        156|     3320313|            0|           21|        0|
|       464|         9|       4422|     3320249|            0|           40|        0|
|       465|         8|        157|     3320335|            0|           22|        0|
|       466|         8|        163|     3320356|            0|           21|        0|
|       467|         9|       3894|     3320289|            0|           40|        0|
|       468|         8|        163|     3320377|            0|           21|        0|
|       469|         8|        164|     3320398|            0|           21|        0|
|       470|         9|       4424|     3320329|            0|           40|        0|
|       471|         8|        169|     3320420|            0|           22|        0|
|       472|         8|        160|     3320441|            0|           21|        0|
|       473|         9|       4102|     3320369|            0|           40|        0|
|       474|         8|        169|     3320463|            0|           22|        0|
|       475|         8|        164|     3320484|            0|           21|        0|
|       476|         9|       4040|     3320409|            0|           40|        0|
|       477|         8|        166|     3320505|            0|           21|        0|
|       478|         9|       4032|     3320449|            0|           40|        0|
|       479|         8|        166|     3320527|            0|           22|        0|
|       480|         8|        165|     3320548|            0|           21|        0|
|       481|         9|       3818|     3320489|            0|           40|        0|
|       482|         8|        166|     3320569|            0|           21|        0|
|       483|         8|        168|     3320590|            0|           21|        0|
|       484|         9|       3877|     3320529|            0|           40|        0|
|       485|         8|        169|     3320612|            0|           22|        0|
|       486|         8|        155|     3320633|            0|           21|        0|
|       487|         9|       4144|     3320569|            0|           40|        0|
|       488|         8|        171|     3320655|            0|           22|        0|
|       489|         8|        162|     3320676|            0|           21|        0|
|       490|         9|       3782|     3320609|            0|           40|        0|
|       491|         8|        167|     3320697|            0|           21|        0|
|       492|         8|        160|     3320719|            0|           22|        0|
|       493|         9|       3671|     3320649|            0|           40|        0|
|       494|         8|        177|     3320740|            0|           21|        0|
|       495|         8|        161|     3320761|            0|           21|        0|
|       496|         9|       3767|     3320689|            0|           40|        0|
|       497|         8|        159|     3320782|            0|           21|        0|
|       498|         9|       3632|     3320729|            0|           40|        0|
|       499|         8|        164|     3320804|            0|           22|        0|
|       500|         8|        163|     3320825|            0|           21|        0|
|       501|         9|       3337|     3320769|            0|           40|        0|
|       502|         8|        166|     3320847|            0|           22|        0|
|       503|         8|        160|     3320868|            0|           21|        0|
|       504|         9|       3523|     3320809|            0|           40|        0|
|       505|         8|        170|     3320889|            0|           21|        0|
|       506|         8|        167|     3320911|            0|           22|        0|
|       507|         9|       3282|     3320849|            0|           40|        0|
|       508|         8|        162|     3320932|            0|           21|        0|
|       509|         8|        173|     3320953|            0|           21|        0|
|       510|         9|       3062|     3320889|            0|           40|        0|
|       511|         8|        164|     3320974|            0|           21|        0|
|       512|         8|        160|     3320996|            0|           22|        0|
|       513|         9|       3322|     3320929|            0|           40|        0|
|       514|         8|        164|     3321017|            0|           21|        0|
|       515|         8|        160|     3321039|            0|           22|        0|
|       516|         9|       2606|     3320969|            0|           40|        0|
|       517|         8|        161|     3321060|            0|           21|        0|
|       518|         8|        155|     3321081|            0|           21|        0|
|       519|         9|       1613|     3321009|            0|           40|        0|
|       520|         8|        167|     3321103|            0|           22|        0|
|       521|         9|      16070|     3321049|            0|           40|        0|
|       522|         8|        166|     3321124|            0|           21|        0|
|       523|         8|        168|     3321145|            0|           21|        0|
|       524|         8|        159|     3321166|            0|           21|        0|
|       525|         9|       1847|     3321089|            0|           40|        0|
|       526|         8|        168|     3321188|            0|           22|        0|
|       527|         9|       1903|     3321129|            0|           40|        0|
|       528|         8|        161|     3321209|            0|           21|        0|
